Building,ROOM,Type,Dept,Class,Title,Meeting_Dates,Meeting Days,Meeting_Times,Room_Capacity,Max_Enrl,Actual_Enrl,,,
CH,359,CL,GENERAL POOL CLASSROOM,PAP 630/ PS 530,PROSEMINAR IN INTL RELATIONS,Sep 26-Dec 10,M,1730-2110,20,20,13,,,
CH,359,CL,GENERAL POOL CLASSROOM,LING 410/ 510,TOP: MATERIALS DEVELOPMENT,Sep 26-Dec 10,MW,1400-1550,20,20,10,,,
CH,359,CL,GENERAL POOL CLASSROOM,LING 453,GRADUATE RESEARCH/WRITING NNS,Sep 26-Dec 10,MWF,1130-1235,20,20,6,,,
CH,359,CL,GENERAL POOL CLASSROOM,CH 384,ORG CHEM WORKSHOP I,Sep 26-Dec 10,R,1200-1350,20,12,9,,,
CH,359,CL,GENERAL POOL CLASSROOM,COMM 220,PUBLIC SPEAKING,Sep 26-Dec 10,T,0800-0950,20,75,72,,,
CH,359,CL,GENERAL POOL CLASSROOM,WR 522,MFA CORE WORKSHOP POETRY,Sep 26-Dec 10,T,1730-2110,20,12,13,,,
CH,359,CL,GENERAL POOL CLASSROOM,UNST 421,CAP: LEARNING GARDENS & COMMTY,Sep 26-Dec 10,TR,1000-1150,20,16,13,,,
CH,359,CL,GENERAL POOL CLASSROOM,WS 317U,SPST: WRITING AS ACTIVISM,Sep 26-Dec 10,TR,1400-1550,20,20,19,,,
,,,,,,,,,,,,,,
CH,483,CL,GENERAL POOL CLASSROOM/ PSYCHOLOGY,WR 399,SPST: FOOD WRITING,Sep 26-Dec 10,M,1730-2110,20,20,15,,,
CH,483,CL,GENERAL POOL CLASSROOM/ PSYCHOLOGY,WR 507,SEM: POETRY,Sep 26-Dec 10,MW,1400-1550,20,12,13,,,
CH,483,CL,GENERAL POOL CLASSROOM/ PSYCHOLOGY,LING 153,INDEPENDENT RESEARCH WRITING,Sep 26-Dec 10,MWF,1130-1235,20,20,12,,,
CH,483,CL,GENERAL POOL CLASSROOM/ PSYCHOLOGY,WR 313,INTERMEDIATE POETRY WRITING,Sep 26-Dec 10,R,1730-2110,20,20,21,,,
CH,483,CL,GENERAL POOL CLASSROOM/ PSYCHOLOGY,COMM 220,PUBLIC SPEAKING,Sep 26-Dec 10,T,0800-0950,20,75,72,,,
CH,483,CL,GENERAL POOL CLASSROOM/ PSYCHOLOGY,LING 147,UNDERSTANDING ACADEMIC LECTURE,Sep 26-Dec 10,TR,1000-1150,20,22,18,,,
CH,483,CL,GENERAL POOL CLASSROOM/ PSYCHOLOGY,NAS 201,INTRO NATIVE AMER STUDIES,Sep 26-Dec 10,TR,1200-1350,20,20,24,,,
CH,483,CL,GENERAL POOL CLASSROOM/ PSYCHOLOGY,COUN 589,ACTION RESEARCH IN COUNSELING,Sep 28-Sep 28,W,1600-1830,20,20,9,,,
,,,,,,,,,,,,,,
CH,400A,CL,GENERAL POOL CLASSROOM,LING 154,ADVANCED ACADEMIC READING,Sep 26-Dec 10,MWF,1015-1120,20,20,13,,,
CH,400A,CL,GENERAL POOL CLASSROOM,LING 153,INDEPENDENT RESEARCH WRITING,Sep 26-Dec 10,MWF,1130-1235,20,20,14,,,
