Building,ROOM,Type,Dept,Class,Title,Meeting_Dates,Meeting Days,Meeting_Times,Room_Capacity,Max_Enrl,Actual_Enrl,,,
NH,385,CL,GENERAL POOL CLASSROOM/ MATH,MTH 424/ 524,ELEM DIFF GEOMETRY I,Sep 26-Dec 10,MWF,1015-1105,30,25,20,,,
NH,385,CL,GENERAL POOL CLASSROOM/ MATH,MTH 311,INTRO TO MATH ANALYSIS I,Sep 26-Dec 10,MWF,1130-1235,30,25,27,,,
NH,385,CL,GENERAL POOL CLASSROOM/ MATH,MTH 431/ 531,TOPICS IN GEOM I,Sep 26-Dec 10,MWF,1245-1335,30,25,17,,,
NH,385,CL,GENERAL POOL CLASSROOM/ MATH,STAT 610,TOP: SUPERVISED STAT LEARNING,Sep 26-Dec 10,TR,0815-0930,30,25,25,,,
NH,385,CL,GENERAL POOL CLASSROOM/ MATH,BST 302U,AFR-AMER EXP 20TH C,Sep 26-Dec 10,TR,1000-1150,30,30,23,,,
NH,385,CL,GENERAL POOL CLASSROOM/ MATH,MTH 300,INTRO TO MATH REASONING,Sep 26-Dec 10,TR,1200-1350,30,30,30,,,
NH,385,CL,GENERAL POOL CLASSROOM/ MATH,ENG 300,WIC: INTRO TO THE ENGLISH MAJR,Sep 26-Dec 10,TR,1400-1550,30,25,22,,,
NH,385,CL,GENERAL POOL CLASSROOM/ MATH,MTH 311,INTRO TO MATH ANALYSIS I,Sep 26-Dec 10,TR,1640-1830,30,25,25,,,
NH,385,CL,GENERAL POOL CLASSROOM/ MATH,STAT 241,RECITATION FOR STAT 241 A01,Sep 26-Dec 10,W,1400-1500,30,30,30,,,
,,,,,,,,,,,,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,WR 212,INTRO FICTION WRITING,Sep 26-Dec 10,MW,0815-1005,30,25,17,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,SYSC 350U,INDIG & SYSTMS ON SUSTAINBLTY,Sep 26-Dec 10,MW,1400-1550,30,30,24,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,LING 438,SECOND LANG ACQUISTION,Sep 26-Dec 10,MW,1640-1830,30,30,15,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,FR 399,SPST: INTRO FRANCOPHONE LIT,Sep 26-Dec 10,MWF,1015-1120,30,30,9,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,IT 399,SPST: ITALIAN WOMEN WRITERS,Sep 26-Dec 10,MWF,1130-1235,30,30,7,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,GER 441U,MJR WRKS: CONTEMP GERMAN NOVEL,Sep 26-Dec 10,MWF,1245-1350,30,30,12,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,CHLA 303U,CHICANA/LATINA EXPERIENCE,Sep 26-Dec 10,T,1600-1750,30,30,25,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,SPAN 331,LATIN AMERICAN CULTURE & CIV,Sep 26-Dec 10,TR,1000-1150,30,30,21,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,SPAN 427/ 527,MAJ TOP: READING MACONDO,Sep 26-Dec 10,TR,1200-1350,30,30,29,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,SPAN 434/ 534,MAJ TOP: EARLY MOD MIND&LIT,Sep 26-Dec 10,TR,1400-1550,30,30,8,,,
NH,387,CL,GENERAL POOL CLASSROOM/ WORLD LANG & LIT,SPAN 342,ERLY MOD & COLONIAL CULT & LIT,Sep 26-Dec 10,TR,1840-2030,30,30,9,,,
,,,,,,,,,,,,,,
OND,201,CL,GENERAL POOL CLASSROOM,INTL 360U,BOLLYWOOD: S ASIA CINEMA,Sep 26-Dec 10,MW,1130-1235,30,30,19,,,
OND,201,CL,GENERAL POOL CLASSROOM,USP 323U,REAL ESTATE DVLPMNT & FINANCE,Sep 26-Dec 10,MW,1640-1830,30,30,20,,,
OND,201,CL,GENERAL POOL CLASSROOM,LING 142,ADVANCED ENGLISH GRAMMAR,Sep 26-Dec 10,MWF,0900-1005,30,20,19,,,
OND,201,CL,GENERAL POOL CLASSROOM,AR 101,FIRST-YEAR STANDARD ARABIC TM1,Sep 26-Dec 10,MWF,1015-1120,30,28,16,,,
OND,201,CL,GENERAL POOL CLASSROOM,BST 414U,RACISM,Sep 26-Dec 10,MWF,1245-1350,30,30,19,,,
OND,201,CL,GENERAL POOL CLASSROOM,HEB 101,FIRST-YEAR MODERN HEBREW TM1,Sep 26-Dec 10,MWF,1400-1505,30,25,11,,,
OND,201,CL,GENERAL POOL CLASSROOM,SPAN 411/ 511,ADVANCED SPANISH,Sep 26-Dec 10,TR,1000-1150,30,30,30,,,
OND,201,CL,GENERAL POOL CLASSROOM,CHLA 330U,LATINO POPULAR CULTURE,Sep 26-Dec 10,TR,1200-1350,30,30,16,,,
OND,201,CL,GENERAL POOL CLASSROOM,SPAN 301,THIRD-YEAR SPANISH,Sep 26-Dec 10,TR,1400-1550,30,25,23,,,
OND,201,CL,GENERAL POOL CLASSROOM,HST 495/ 595,COMPARATIVE WORLD HST,Sep 26-Dec 10,TR,1640-1830,30,30,15,,,
,,,,,,,,,,,,,,
OND,202,CL,GENERAL POOL CLASSROOM,SYSC 507,SEMINAR,Sep 26-Dec 10,F,1200-1250,30,30,11,,,
OND,202,CL,GENERAL POOL CLASSROOM,SPED 510,TOP: READ ASSMT/INSTRUC: SEC,Sep 26-Dec 10,M,1600-1830,30,30,24,,,
OND,202,CL,GENERAL POOL CLASSROOM,SPED 509,PRAC: ACADEMIC NEEDS (SEC),Sep 26-Dec 10,M,1840-2110,30,25,24,,,
OND,202,CL,GENERAL POOL CLASSROOM,ESM 420/ 520,ECOL TOXICOLOGY,Sep 26-Dec 10,MW,1200-1350,30,30,21,,,
OND,202,CL,GENERAL POOL CLASSROOM,LING 101,PRE-ENTRY GRAMMAR/WRITING,Sep 26-Dec 10,MWF,0900-1120,30,20,13,,,
OND,202,CL,GENERAL POOL CLASSROOM,LING 104,PRE-ENTRY READING,Sep 26-Dec 10,MWF,1400-1545,30,22,12,,,
OND,202,CL,GENERAL POOL CLASSROOM,MTH 427/ 527,PARTIAL DIFFER EQUAT I,Sep 26-Dec 10,TR,1000-1115,30,28,27,,,
OND,202,CL,GENERAL POOL CLASSROOM,LING 471/ 571,UNDERSTANDING INTL EXPERIENCE,Sep 26-Dec 10,TR,1200-1350,30,30,23,,,
OND,202,CL,GENERAL POOL CLASSROOM,FR 301,THIRD-YEAR FRENCH TM1,Sep 26-Dec 10,TR,1400-1550,30,25,26,,,
OND,202,CL,GENERAL POOL CLASSROOM,ENG 448/ 548,MJR FIG: CHAUCER I (LOVE POEMS,Sep 26-Dec 10,TR,1640-1830,30,30,13,,,
OND,202,CL,GENERAL POOL CLASSROOM,ENG 464,ADV TOP: RACE & MODERNISM,Sep 26-Dec 10,W,1730-2110,30,30,23,,,
,,,,,,,,,,,,,,
OND,203,CL,GENERAL POOL CLASSROOM,WR 507,SEM: FICTION,Sep 26-Dec 10,F,1200-1540,30,12,8,,,
OND,203,CL,GENERAL POOL CLASSROOM,ELP 465/ 565,SCHOOL-COMMUNITY RELATIONS,SEPT 26-Nov 28,M,1600-1830,30,30,25,,,
OND,203,CL,GENERAL POOL CLASSROOM,ELP 467/ 567,ESL/BILING DSN & MDL,SEPT 26-Nov 28,M,1840-2120,30,30,25,,,
OND,203,CL,GENERAL POOL CLASSROOM,EC 312,MACROECONOMIC THEORY,Sep 26-Dec 10,MW,1000-1150,30,30,19,,,
OND,203,CL,GENERAL POOL CLASSROOM,HON 202,URBAN HUMANITIES,Sep 26-Dec 10,MW,1400-1550,30,30,30,,,
OND,203,CL,GENERAL POOL CLASSROOM,COUN 571,GROUP COUNSELING,Sep 26-Dec 10,T,1600-1830,30,30,25,,,
OND,203,CL,GENERAL POOL CLASSROOM,LING 416/ 516,DISCOURSE ANALYSIS,Sep 26-Dec 10,TR,1000-1150,30,30,24,,,
OND,203,CL,GENERAL POOL CLASSROOM,HON 403,WIC: THESIS: PROSPECTUS,Sep 26-Dec 10,TR,1200-1350,30,28,27,,,
OND,203,CL,GENERAL POOL CLASSROOM,FR 101,FIRST-YEAR FRENCH TM1,Sep 26-Dec 10,TR,1400-1550,30,28,25,,,
OND,203,CL,GENERAL POOL CLASSROOM,ITP 522,SEC ELA METHODS,Sep 26-Dec 10,W,1630-2020,30,25,15,,,
,,,,,,,,,,,,,,
OND,220,CL,GENERAL POOL CLASSROOM,PA 409,PRACTICUM,Sep 26-Dec 10,F,0900-1200,30,30,11,,,
OND,220,CL,GENERAL POOL CLASSROOM,USP 588,SUSTAINABLE DEVELOP PRAC,Sep 26-Dec 10,M,1500-1729,30,30,25,,,
OND,220,CL,GENERAL POOL CLASSROOM,SW 539,SOCIAL JUSTICE IN SOCIAL WORK,Sep 26-Dec 10,M,1730-2020,30,24,17,,,
OND,220,CL,GENERAL POOL CLASSROOM,HON 201,URBAN SOCIAL SCIENCE,Sep 26-Dec 10,MW,1000-1150,30,30,28,,,
OND,220,CL,GENERAL POOL CLASSROOM,ASL 201,SECOND-YEAR ASL TM1,Sep 26-Dec 10,TR,1000-1150,30,28,28,,,
OND,220,CL,GENERAL POOL CLASSROOM,LING 415/ 515,LINGUISTIC PHONETICS,Sep 26-Dec 10,TR,1200-1350,30,30,23,,,
OND,220,CL,GENERAL POOL CLASSROOM,LING 147,UNDERSTANDING ACADEMIC LECTURE,Sep 26-Dec 10,TR,1400-1550,30,22,19,,,
OND,220,CL,GENERAL POOL CLASSROOM,GER 399,SPST: GERMAN HISTORY WEIMAR,Sep 26-Dec 10,TR,1600-1750,30,30,6,,,
OND,220,CL,GENERAL POOL CLASSROOM,UNST 421,CAP: TUTORING ADULT ESL,Sep 26-Dec 10,W,1245-1545,30,16,17,,,
OND,220,CL,GENERAL POOL CLASSROOM,ITP 523,SEC HEALTH & PE METHODS,Sep 26-Dec 10,W,1630-2020,30,25,10,,,
,,,,,,,,,,,,,,
PKM,293,CL,GENERAL POOL CLASSROOM,HON 403,WIC: THESIS: CONTINUATION,Sep 26-Dec 10,MW,1245-1350,30,28,18,,,
PKM,293,CL,GENERAL POOL CLASSROOM,STAT 572,BAYESIAN STATISTICS,Sep 26-Dec 10,MWF,0900-0950,30,20,20,,,
PKM,293,CL,GENERAL POOL CLASSROOM,LING 134,READING LEVEL 3,Sep 26-Dec 10,MWF,1400-1505,30,20,20,,,
PKM,293,CL,GENERAL POOL CLASSROOM,CHLA 302U,SURV OF CH/LA LIT,Sep 26-Dec 10,T,1600-1750,30,30,18,,,
PKM,293,CL,GENERAL POOL CLASSROOM,UNST 421,CAP: SUSTAINABLE LIVING,Sep 26-Dec 10,TR,1000-1150,30,16,15,,,
PKM,293,CL,GENERAL POOL CLASSROOM,HON 201,URBAN SOCIAL SCIENCE,Sep 26-Dec 10,TR,1200-1350,30,30,29,,,
PKM,293,CL,GENERAL POOL CLASSROOM,LING 126,SPEAKING/LISTENING LEVEL 2,Sep 26-Dec 10,TR,1400-1550,30,20,14,,,
PKM,293,CL,GENERAL POOL CLASSROOM,ITP 525,SEC MUSIC METHODS,Sep 26-Dec 10,W,1630-2020,30,25,7,,,
,,,,,,,,,,,,,,
PNT,232,CL,GENERAL POOL CLASSROOM,LING 560,RESEARCH DESIGN APPLIED LING,Sep 26-Dec 10,MW,0900-1005,30,15,13,,,
PNT,232,CL,GENERAL POOL CLASSROOM,LING 561,RESEARCH METHOD APPLIED LING,Sep 26-Dec 10,MW,1015-1120,30,15,8,,,
PNT,232,CL,GENERAL POOL CLASSROOM,ESM 435/ 535,NAT RESOURCES POLICY & MGMT,Sep 26-Dec 10,MW,1130-1320,30,30,16,,,
PNT,232,CL,GENERAL POOL CLASSROOM,ENG 491/ 591,HST OF LITERARY CRIT & THRY I,Sep 26-Dec 10,MW,1400-1550,30,30,27,,,
PNT,232,CL,GENERAL POOL CLASSROOM,TA 101/ 361,THEATER APPRECIATION,Sep 26-Dec 10,R,1800-2135,30,30,35,,,
PNT,232,CL,GENERAL POOL CLASSROOM,PAP 614,CONTEMPORARY GOVERNANCE,Sep 26-Dec 10,T,1600-1830,30,10,7,,,
PNT,232,CL,GENERAL POOL CLASSROOM,CFS 480,SOC INFLUENCE/PROF PRAC,Sep 26-Dec 10,TR,1000-1150,30,30,29,,,
PNT,232,CL,GENERAL POOL CLASSROOM,ENG 494/ 594,TOP CRIT THRY: QUEER THEORY,Sep 26-Dec 10,TR,1200-1350,30,30,34,,,
PNT,232,CL,GENERAL POOL CLASSROOM,LING 411/ 511,SYNTAX,Sep 26-Dec 10,TR,1400-1550,30,30,28,,,
PNT,232,CL,GENERAL POOL CLASSROOM,SPED 510,TOP: FAMILIES & ADVOC: ELEM,Sep 26-Dec 10,W,1600-1830,30,30,23,,,
,,,,,,,,,,,,,,
CH,321,CL,GENERAL POOL CLASSROOM,WR 399,SPST: WRITING FOR COMICS,Sep 26-Dec 10,F,1200-1550,32,25,20,,,
CH,321,CL,GENERAL POOL CLASSROOM,SW 523,HLTH CARE POL & PROG,Sep 26-Dec 10,M,0900-1150,32,30,9,,,
CH,321,CL,GENERAL POOL CLASSROOM,WR 115,INTRO TO COLLEGE WRITING,Sep 26-Dec 10,MW,1200-1350,32,15,15,,,
CH,321,CL,GENERAL POOL CLASSROOM,ENG 460,ADV TOP AM LIT TO 1800,Sep 26-Dec 10,MW,1400-1550,32,30,22,,,
CH,321,CL,GENERAL POOL CLASSROOM,UNST 421,CAP: MEDIA LITERACY,Sep 26-Dec 10,MW,1600-1750,32,16,15,,,
CH,321,CL,GENERAL POOL CLASSROOM,ASL 101,FIRST-YEAR ASL TM1,Sep 26-Dec 10,MW,1840-2030,32,28,27,,,
CH,321,CL,GENERAL POOL CLASSROOM,ELP 410/ 510,TOP: PRMCLTR & WHLE SYS DES I,Sep 26-Dec 10,R,1600-1830,32,25,15,,,
CH,321,CL,GENERAL POOL CLASSROOM,ASC 199,SPST: INTRO TO PRE-NURSING,Sep 26-Dec 10,T,1600-1650,32,30,15,,,
CH,321,CL,GENERAL POOL CLASSROOM,SW 593,PRACTICE & LDERSHIP COMM ORG I,Sep 26-Dec 10,T,1730-2020,32,26,25,,,
CH,321,CL,GENERAL POOL CLASSROOM,PSY 321,RESEARCH METHODS IN PSY,Sep 26-Dec 10,TR,0800-0950,32,30,27,,,
CH,321,CL,GENERAL POOL CLASSROOM,HON 101,THE GLOBAL CITY,Sep 26-Dec 10,TR,1000-1150,32,32,32,,,
CH,321,CL,GENERAL POOL CLASSROOM,SCI 365U/ WS 365U,SCIENCE OF WOMENS BODIES,Sep 26-Dec 10,TR,1200-1350,32,32,32,,,
CH,321,CL,GENERAL POOL CLASSROOM,JPN 551,JAPANESE LANG & LIT,Sep 26-Dec 10,TR,1400-1550,32,15,3,,,
CH,321,CL,GENERAL POOL CLASSROOM,SW 574,SW W/ FRAIL OLDER ADULTS,Sep 26-Dec 10,W,0900-1150,32,30,23,,,
,,,,,,,,,,,,,,
CH,324,CL,GENERAL POOL CLASSROOM,ELP 579,CURR/INST/ASSESS LDRSHP,OCT 03-Dec 05,M,1700-2000,32,25,21,,,
CH,324,CL,GENERAL POOL CLASSROOM,ELP 579,CURR/INST/ASSESS LDRSHP,Sep 26-Sep 26,M,1700-2000,32,25,21,,,
CH,324,CL,GENERAL POOL CLASSROOM,BST 345U,BLACK POPULAR MUSIC IN CONTEXT,Sep 26-Dec 10,MW,1400-1550,32,30,30,,,
CH,324,CL,GENERAL POOL CLASSROOM,MTH 344,INTRO GROUP THY-APPL,Sep 26-Dec 10,MWF,0900-1005,32,25,27,,,
CH,324,CL,GENERAL POOL CLASSROOM,LING 111,GRAMMAR/WRITING LEVEL 1,Sep 26-Dec 10,MWF,1015-1235,32,20,16,,,
CH,324,CL,GENERAL POOL CLASSROOM,STAT 461,INTRO MTH STAT I,Sep 26-Dec 10,MWF,1245-1335,32,30,30,,,
CH,324,CL,GENERAL POOL CLASSROOM,ELP 571,TCHG/LRNG/CURR (THURSDAY),Sep 29-Sep 29,R,1700-2100,32,25,18,,,
CH,324,CL,GENERAL POOL CLASSROOM,COMM 220,PUBLIC SPEAKING,Sep 26-Dec 10,T,0800-0950,32,75,72,,,
CH,324,CL,GENERAL POOL CLASSROOM,CR 312,INTRO INTERCULTURAL CR,Sep 26-Dec 10,TR,1000-1150,32,30,15,,,
CH,324,CL,GENERAL POOL CLASSROOM,PA 312U,FOUNDATIONS OF COMM LEADERSHIP,Sep 26-Dec 10,TR,1200-1350,32,32,29,,,
CH,324,CL,GENERAL POOL CLASSROOM,SPAN 103,FIRST-YEAR SPANISH TM3,Sep 26-Dec 10,TR,1400-1550,32,28,28,,,
CH,324,CL,GENERAL POOL CLASSROOM,ITP 522,SEC ELA METHODS,Sep 26-Dec 10,W,1630-2020,32,25,19,,,
,,,,,,,,,,,,,,
NH,391,CL,GENERAL POOL CLASSROOM,WR 312,INTERMED FICTION WR,Sep 26-Dec 10,M,1730-2110,32,20,18,,,
NH,391,CL,GENERAL POOL CLASSROOM,JPN 101,FIRST-YEAR JAPANESE TM1,Sep 26-Dec 10,MTWRF,0800-0850,32,28,25,,,
NH,391,CL,GENERAL POOL CLASSROOM,JPN 101,FIRST-YEAR JAPANESE TM1,Sep 26-Dec 10,MTWRF,1200-1250,32,28,25,,,
NH,391,CL,GENERAL POOL CLASSROOM,JPN 201,SECOND-YEAR JAPANESE TM1,Sep 26-Dec 10,MTWRF,1300-1350,32,28,28,,,
NH,391,CL,GENERAL POOL CLASSROOM,ASL 101,FIRST-YEAR ASL TM1,Sep 26-Dec 10,MW,1000-1150,32,28,30,,,
NH,391,CL,GENERAL POOL CLASSROOM,CHLA 301U,CHICANO/LATINO COMMUNITIES,Sep 26-Dec 10,MW,1400-1550,32,30,30,,,
NH,391,CL,GENERAL POOL CLASSROOM,MTH 456/ 556,TOPICS IN COMBINATORICS,Sep 26-Dec 10,MWF,0900-0950,32,25,24,,,
NH,391,CL,GENERAL POOL CLASSROOM,ESM 588/ SOPH 03,ENVIRONMENTAL SUSTAINABILITY,Sep 26-Dec 10,R,1400-1740,32,20,15,,,
NH,391,CL,GENERAL POOL CLASSROOM,WR 456,FORMS OF NONFICTION,Sep 26-Dec 10,T,1730-2110,32,16,16,,,
NH,391,CL,GENERAL POOL CLASSROOM,FR 101,FIRST-YEAR FRENCH TM1,Sep 26-Dec 10,TR,1000-1150,32,28,26,,,
NH,391,CL,GENERAL POOL CLASSROOM,CI 522,LITERACY FOUNDATIONS,Sep 26-Dec 10,W,1630-1830,32,25,10,,,
,,,,,,,,,,,,,,
URBN,303,CL,GENERAL POOL CLASSROOM,SW 521,ADV ANTI-OPRESSIVE PRACT,Sep 26-Dec 10,M,1300-1550,32,30,14,,,
URBN,303,CL,GENERAL POOL CLASSROOM,USP 523,REAL ESTATE DEV I,Sep 26-Dec 10,MW,1640-1830,32,32,25,,,
URBN,303,CL,GENERAL POOL CLASSROOM,RUS 201,SECOND-YEAR RUSSIAN TM1,Sep 26-Dec 10,MWF,1015-1120,32,28,19,,,
URBN,303,CL,GENERAL POOL CLASSROOM,MTH 434/ 534,SET THEORY-TOPOL I,Sep 26-Dec 10,MWF,1130-1220,32,30,24,,,
URBN,303,CL,GENERAL POOL CLASSROOM,ITP 510,"TOP: INQRY, ASSMNT, & INST DES",Sep 26-Dec 10,R,1400-1550,32,25,24,,,
URBN,303,CL,GENERAL POOL CLASSROOM,SW 586,"CHILDREN, YOU AND FAMILIES I",Sep 26-Dec 10,R,1730-2020,32,28,24,,,
URBN,303,CL,GENERAL POOL CLASSROOM,HSMP 572/ PAH 572/ SOPH 03,HEALTH POLITICS,Sep 26-Dec 10,T,1600-1830,32,32,14,,,
URBN,303,CL,GENERAL POOL CLASSROOM,SPAN 101,FIRST-YEAR SPANISH TM1,Sep 26-Dec 10,TR,1000-1150,32,28,27,,,
URBN,303,CL,GENERAL POOL CLASSROOM,HON 407,SEM: STRUCTURALISM,Sep 26-Dec 10,TR,1200-1350,32,20,20,,,
URBN,303,CL,GENERAL POOL CLASSROOM,SPED 521,BEHAV MGMT-CLASSRM,Sep 26-Dec 10,W,1300-1530,32,30,21,,,
,,,,,,,,,,,,,,
URBN,304,CL,GENERAL POOL CLASSROOM,SW 511,FOUND FIELD PLACE & SEM,Sep 26-Dec 10,M,1600-1720,33,15,13,,,
URBN,304,CL,GENERAL POOL CLASSROOM,WS 451/ 551,INTERRUPTING OPPRESSON,Sep 26-Dec 10,M,1730-2110,33,25,17,,,
URBN,304,CL,GENERAL POOL CLASSROOM,CHLA 390U,LATINOS IN THE PACIFIC NW,Sep 26-Dec 10,MW,1000-1150,33,30,7,,,
URBN,304,CL,GENERAL POOL CLASSROOM,HON 407,SEM: SOC OF CHRONIC ILLNESS,Sep 26-Dec 10,MW,1200-1350,33,20,19,,,
URBN,304,CL,GENERAL POOL CLASSROOM,ANTH 435/ 435H/ 535,VISUAL ANTHROPOLOGY,Sep 26-Dec 10,MW,1400-1550,33,30,13,,,
URBN,304,CL,GENERAL POOL CLASSROOM,KOR 101,FIRST-YEAR KOREAN TM1,Sep 26-Dec 10,MWF,0900-0950,33,28,18,,,
URBN,304,CL,GENERAL POOL CLASSROOM,COMM 410,TOP: MEDIA ETHICS,Sep 26-Dec 10,TR,1000-1150,33,33,33,,,
URBN,304,CL,GENERAL POOL CLASSROOM,AR 201,SECOND-YEAR STANDRD ARABIC TM1,Sep 26-Dec 10,TR,1200-1350,33,28,23,,,
URBN,304,CL,GENERAL POOL CLASSROOM,SPAN 201,SECOND-YEAR SPANISH TM1,Sep 26-Dec 10,TR,1400-1550,33,28,24,,,
URBN,304,CL,GENERAL POOL CLASSROOM,ITP 521,SEC ART METHODS,Sep 26-Dec 10,W,1630-2020,33,25,7,,,
,,,,,,,,,,,,,,
CH,221,CL,GENERAL POOL CLASSROOM,PA 511,PUBLIC ADMINISTRATN,Sep 26-Dec 10,M,1840-2120,35,35,28,,,
CH,221,CL,GENERAL POOL CLASSROOM,WR 222,WRITING RESEARCH PAPERS,Sep 26-Dec 10,MW,1400-1550,35,25,26,,,
CH,221,CL,GENERAL POOL CLASSROOM,MTH 411/ MTH 511,INTRO REAL ANALYSIS I,Sep 26-Dec 10,MW,1715-1830,35,30,33,,,
CH,221,CL,GENERAL POOL CLASSROOM,LING 111,GRAMMAR/WRITING LEVEL 1,Sep 26-Dec 10,MWF,0900-1120,35,22,18,,,
CH,221,CL,GENERAL POOL CLASSROOM,GER 101,FIRST-YEAR GERMAN TM1,Sep 26-Dec 10,MWF,1130-1235,35,28,20,,,
CH,221,CL,GENERAL POOL CLASSROOM,PS 447,INTERNATL ORGANIZATN,Sep 26-Dec 10,MWF,1245-1350,35,35,15,,,
CH,221,CL,GENERAL POOL CLASSROOM,MIM 588,GLOBAL BUSINESS STRATEY I,Sep 26-Dec 10,R,0800-0950,35,35,21,,,
CH,221,CL,GENERAL POOL CLASSROOM,RE 439/ 539S,REAL ESTATE VALUATION I,Sep 26-Dec 10,R,1840-2120,35,35,15,,,
CH,221,CL,GENERAL POOL CLASSROOM,HSMP/PAH 574/ 674,HEALTH SYSTEMS ORG,Sep 26-Dec 10,T,1840-2120,35,30,28,,,
CH,221,CL,GENERAL POOL CLASSROOM,PS 462,INTL REL MID EAST,Sep 26-Dec 10,TR,1000-1150,35,35,30,,,
CH,221,CL,GENERAL POOL CLASSROOM,ESM 485/ ESM 585,ECOL & MGMT BIO-INVASIONS,Sep 26-Dec 10,TR,1200-1350,35,35,28,,,
CH,221,CL,GENERAL POOL CLASSROOM,COMM 452/ 552,GENDER & RACE IN THE MEDIA,Sep 26-Dec 10,TR,1400-1550,35,35,32,,,
CH,221,CL,GENERAL POOL CLASSROOM,ECE 311,FEEDBACK AND CONTROL,Sep 26-Dec 10,TR,1640-1830,35,30,25,,,
CH,221,CL,GENERAL POOL CLASSROOM,PA 585,FINANCIAL MGMT PUBLIC SECTOR,Sep 26-Dec 10,W,1840-2120,35,35,20,,,
,,,,,,,,,,,,,,
CH,328,CL,GENERAL POOL CLASSROOM,PA 525/ SOPH 03,GRANTWRITING-NONPROF,Sep 30-Sep 30,F,1800-2100,35,34,10,,,
CH,328,CL,GENERAL POOL CLASSROOM,PA 590,HUM RSRC MGMT PUBLIC,Sep 26-Dec 10,M,1600-1830,35,35,14,,,
CH,328,CL,GENERAL POOL CLASSROOM,UNST 117C,HUMAN/NATURE,Sep 26-Dec 10,MW,0845-1000,35,35,35,,,
CH,328,CL,GENERAL POOL CLASSROOM,HON 101,THE GLOBAL CITY,Sep 26-Dec 10,MW,1400-1550,35,32,32,,,
CH,328,CL,GENERAL POOL CLASSROOM,PHL 451/ 551,CLASSICAL FIGURES: STOICS,Sep 26-Dec 10,MWF,1015-1120,35,35,9,,,
CH,328,CL,GENERAL POOL CLASSROOM,LING 407,SENIOR SEMINAR,Sep 26-Dec 10,MWF,1130-1235,35,20,7,,,
CH,328,CL,GENERAL POOL CLASSROOM,ANTH 412/412H/512,RES MTHDS SOCIAL/CULTURAL ANTH,Sep 26-Dec 10,MWF,1245-1350,35,35,14,,,
CH,328,CL,GENERAL POOL CLASSROOM,PA 520,INTRO NON-PROFIT MGMT,Sep 26-Dec 10,R,1840-2120,35,35,13,,,
CH,328,CL,GENERAL POOL CLASSROOM,WS 101,INTRO WOMENS STUDY,Sep 26-Dec 10,TR,0800-0950,35,35,33,,,
CH,328,CL,GENERAL POOL CLASSROOM,HSMP 320U/ PAH 320U,HEALTH ETHICS: CONTEMP ISSUES,Sep 26-Dec 10,TR,1000-1150,35,35,28,,,
CH,328,CL,GENERAL POOL CLASSROOM,BST 419U,AFRICAN AMERICAN WOMEN IN US,Sep 26-Dec 10,TR,1200-1350,35,30,7,,,
CH,328,CL,GENERAL POOL CLASSROOM,PS 414,ISSUES PUBLIC POLICY,Sep 26-Dec 10,TR,1400-1550,35,35,24,,,
CH,328,CL,GENERAL POOL CLASSROOM,WS 360U,INTRO TO QUEER STUDIES,Sep 26-Dec 10,TR,1640-1830,35,35,34,,,
CH,328,CL,GENERAL POOL CLASSROOM,HSMP 573/673 PAH 573/673/ SOPH 03,VALUES & ETHICS-HEALTH,Sep 26-Dec 10,W,1600-1830,35,15,19,,,
CH,328,CL,GENERAL POOL CLASSROOM,COUN 578,COUPLES THERAPY,Sep 26-Dec 10,W,1840-2120,35,35,28,,,
,,,,,,,,,,,,,,
NH,8,CL,GENERAL POOL CLASSROOM,FIN 516/ 531,MANAGERIAL MACROECONOMICS,Sep 26-Nov 28,M,1730-2110,35,35,18,,,
NH,8,CL,GENERAL POOL CLASSROOM,COMM 220,PUBLIC SPEAKING,Sep 26-Dec 10,MW,0815-1005,35,75,75,,,
NH,8,CL,GENERAL POOL CLASSROOM,ENG 301U,TOPICS: SHAKESPEARE COMEDIES,Sep 26-Dec 10,MWF,1015-1120,35,35,35,,,
NH,8,CL,GENERAL POOL CLASSROOM,ITP 517,ENGAGING AOLESCENT LRNRS,OCT 15-Nov 12,S,0900-1600,35,25,18,,,
NH,8,CL,GENERAL POOL CLASSROOM,ITP 517,ENGAGING AOLESCENT LRNRS,SEP 27-DEC 06,T,1630-2030,35,25,18,,,
NH,8,CL,GENERAL POOL CLASSROOM,CS 494P/ 594,INTERNETWRKG PROTCLS,Sep 26-Dec 10,TR,1000-1150,35,35,30,,,
NH,8,CL,GENERAL POOL CLASSROOM,ENG 331U,INTRO RHETORIC & COMP STUDIES,Sep 26-Dec 10,TR,1200-1350,35,35,25,,,
